id,category,url,local_filename,animal,breed,age,diagnosis_category,diagnosis,grade,description,source_page
cb-feline-murmur-ventricular-premature-contractions,arrhythmia,https://soundcloud.com/cliniciansbrief/sets/feline-murmur-with-ventricular/s-D2aU6,feline-murmur-ventricular-premature-contractions.mp3,cat,,,arrhythmia,Feline Murmur with Ventricular Premature Contractions,2/6,A normal sinus rhythm with a grade 2/6 systolic murmur (auscultated over the left sternal border) is appreciated in this feline heart sound. Early extra-systoles caused by ventricular premature contractions (VPCs) are also heard.,https://www.cliniciansbrief.com/cardiac-library/heart-sound/feline-murmur-ventricular-premature-contractions
cb-feline-physiologic-murmur,normal,https://soundcloud.com/cliniciansbrief/sets/feline-physiologic-murmur/s-lqrTURqyYuG,feline-physiologic-murmur.mp3,cat,,,normal,Feline Physiologic Murmur,2/6,"A soft, grade 2/6 murmur (auscultated loudest over the left sternal border) is appreciated in this heart sound. This murmur is most likely an innocent or physiologic murmur caused by increased cardiac output and a high heart rate (common in cats). An echocardiogram is necessary to determine whether a benign dynamic right ventricular outflow tract obstruction (DRVOTO) or a pathologic dynamic left ventricular outflow tract obstruction (DLVOTO) is present.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/feline-physiologic-murmur
cb-gallop-sound-hyperthyroid-cat,other,https://soundcloud.com/cliniciansbrief/sets/gallop-sound-in-a-hyperthyroid/s-grEmk,gallop-sound-hyperthyroid-cat.mp3,cat,,,other,Gallop Sound in a Hyperthyroid Cat,2/6,"A rapid heart rate, a grade 2/6 systolic ejection murmur (auscultated over the left sternal border), and a gallop sound are heard in this heart sound. The third and fourth heart sounds occur during diastole and are not typically audible in normal cats; S3 and S4 heart sounds are lower frequency than S1 and S2, and are best appreciated with the stethoscope bell. S3 or S4 sounds may be similar to horse galloping, hence the term gallop heart sounds ; however, gallop rhythm should be avoided, as an audible S3 or S4 does not relate to the heart’s underlying electrical rhythm. Rapid ventricular filling generates the S3 (also known as S3, protodiastolic , or ventricular gallop). A presystolic gallop (also called S4 or atrial gallop) is heard just before S1 and occurs just after the P wave on the electrocardiogram. Protodiastolic gallop sounds in cats are commonly associated with hyperthyroidism, as in this cat’s case. At rapid heart rates (common in cats), ventricular filling and atrial systole transpire very close together, making differentiation between S3 and S4 impossible. The resulting single accentuated sound is referred to as a summation gallop .",https://www.cliniciansbrief.com/cardiac-library/heart-sound/gallop-sound-hyperthyroid-cat
cb-grade-2-3-mitral-insufficiency-murmur,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/grade-2-3-mitral-insufficiency/s-toH7L,grade-2-3-mitral-insufficiency-murmur.mp3,dog,,,acquired_valvular_disease,Grade 2-3 Mitral Insufficiency Murmur,,"A grade 2-3 systolic murmur is auscultated over the left apex region, which is plateau (band-shaped) and occurs throughout systole, thus making it difficult to identify S1 or S2 sounds.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/grade-2-3-mitral-insufficiency-murmur
cb-grade-4-mitral-murmur,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/grade-4-mitral-murmur/s-98A1O,grade-4-mitral-murmur.mp3,dog,,,acquired_valvular_disease,Grade 4 Mitral Murmur,3-4/6,"A grade 3-4/6 systolic murmur is appreciated over the left apex region in this heart sound, which is plateau (band shaped) and harsh. It occurs throughout systole, making it difficult to identify S1 or S2 sounds.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/grade-4-mitral-murmur
cb-grade-5-gallop,other,https://soundcloud.com/cliniciansbrief/sets/grade-5-with-gallop/s-XKFMl,grade-5-gallop.mp3,dog,,,other,Grade 5 with Gallop,,"The murmur in this heart sound may be difficult to be appreciated, but what is heard is an S3 gallop sound. The third and fourth heart sounds occur during diastole and are not normally audible in normal dogs. The S3 heart sound is lower in frequency than S1 and S2 sounds, and it is usually best heard with the bell of the stethoscope. An S3 may sound like horse galloping, hence the term gallop heart sounds ; however, the term gallop rhythm should be avoided, as an audible S3 does not relate to the heart’s underlying electrical rhythm. Rapid ventricular filling generates the S3 (also known as S3, protodiastolic , or ventricular gallop ). An audible S3 is most commonly heard with diastolic volume overloading, as seen in this patient with severe mitral insufficiency.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/grade-5-gallop
cb-high-pitched-mitral-regurgitation,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/high-pitched-mitral/s-YXYZg,high-pitched-mitral-regurgitation.mp3,dog,,,acquired_valvular_disease,High-Pitched Mitral Regurgitation,,"A high-pitched or musical (whooping) murmur is appreciated over the left apex region in this heart sound, which is plateau (band-shaped) and occurs throughout systole, making it difficult to identify S1 or S2 sounds. This type of high-pitched murmur auscultated over the left apex is typically associated with milder mitral insufficiency and is thought to be high pitched because of vibrations created by loose chordae tendineae early in the disease process.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/high-pitched-mitral-regurgitation
cb-high-pitched-or-high-frequency-murmurs,other,https://soundcloud.com/cliniciansbrief/sets/high-pitched-or-high-frequency/s-SvS0f,high-pitched-or-high-frequency-murmurs.mp3,dog,,,other,High-Pitched or High-Frequency Murmurs,,"A high-pitched or musical (whooping) murmur is appreciated over the left apex region in this heart sound, which is plateau (band-shaped) and occurs throughout systole, making it difficult to identify S1 or S2 sounds. This type of high-pitched murmur auscultated over the left apex is typically associated with milder mitral insufficiency and is thought to be high pitched because of vibrations created by loose chordae tendineae early in the disease process.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/high-pitched-or-high-frequency-murmurs
cb-hypertrophic-cardiomyopathy-systolic-anterior-motion,other,https://soundcloud.com/cliniciansbrief/sets/hypertrophic-cardiomyopathy/s-oUsKMC2SzgH,hypertrophic-cardiomyopathy-systolic-anterior-motion.mp3,cat,,,other,Hypertrophic Cardiomyopathy with Systolic Anterior Motion,4/6,"A harsh, grade 4/6 systolic ejection (crescendo shaped) murmur that peaks at the end of systole (over the left sternal border in these 2 cats) is appreciated in this recording. The murmurs of dynamic outflow tract obstruction are systolic murmurs heard best at the left or right heart base, depending on which outflow tract is obstructed (eg, left outflow tract best heard at left base). A left ventricular dynamic outflow tract obstruction is the most common cause of ejection murmurs in cats with hypertrophic cardiomyopathy; the murmur onset and duration coincide with systolic anterior motion of the mitral valve. The benign, physiologic murmur of the right ventricular dynamic outflow tract obstruction occurs commonly in cats at high heart rates and is not clinically significant. Murmurs caused by dynamic ventricular outflow obstructions become louder as contraction strength and heart rates increase. An echocardiogram is necessary to determine whether a benign dynamic right ventricular outflow tract obstruction (DRVOTO) or a pathologic dynamic left ventricular outflow tract obstruction (DLVOTO) is causing the murmur.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/hypertrophic-cardiomyopathy-systolic-anterior-motion
cb-mild-mitral-regurgitation,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/mild-mitral-regurgitation/s-a8fCt,mild-mitral-regurgitation.mp3,dog,,,acquired_valvular_disease,Mild Mitral Regurgitation,2/6,"A grade 2/6 systolic murmur is auscultated over the left apex region in this heart sound; it is plateau (band-shaped) and occurs throughout systole, making it difficult to identify S1 or S2 sounds.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/mild-mitral-regurgitation
cb-mild-pulmonary-stenosis-severe-pulmonary-insufficiency,congenital,https://soundcloud.com/cliniciansbrief/sets/mild-pulmonary-stenosis-with/s-Oc4Kb,mild-pulmonary-stenosis-severe-pulmonary-insufficiency.mp3,dog,,,congenital,Mild Pulmonary Stenosis with Severe Pulmonary Insufficiency,3/6,"A combination of systolic and diastolic murmurs (auscultated over the left heart base) is heard in this heart sound, following a balloon valvuloplasty for severe pulmonary valve dysplasia. The combination of a systolic ejection murmur with a diastolic decrescendo murmur is described as a to-and-fro murmur . The ejection component tapers in late systole, allowing recognition of S2 and differentiation from a continuous murmur. This dog had mild outflow tract obstruction with severe pulmonary insufficiency following the balloon valvuloplasty, resulting in systolic and diastolic murmurs with almost equal intensity (both grade 3/6).",https://www.cliniciansbrief.com/cardiac-library/heart-sound/mild-pulmonary-stenosis-severe-pulmonary-insufficiency
cb-mitral-insufficiency-left-ventricular-enlargement,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/mitral-insufficiency-left/s-VGNhy,mitral-insufficiency-left-ventricular-enlargement.mp3,dog,,,acquired_valvular_disease,Mitral Insufficiency & Left Ventricular Enlargement,4/6,"A grade 4/6 systolic murmur is auscultated over the left apex region in this heart sound; it is plateau (band-shaped) and occurs throughout systole, making it difficult to identify S1 or S2 sounds.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/mitral-insufficiency-left-ventricular-enlargement
cb-mitral-insufficiency-sinus-arrhythmia,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/mitral-insufficiency-sinus/s-sggam,mitral-insufficiency-sinus-arrhythmia.mp3,dog,,,acquired_valvular_disease,Mitral Insufficiency & Sinus Arrhythmia,3/6,"A grade 3/6 systolic murmur is auscultated over the left apex region in this heart sound, which is plateau (band-shaped) and occurs throughout systole, making it difficult to identify S1 or S2 sounds. There is also a regularly irregular rhythm consistent with a sinus arrhythmia.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/mitral-insufficiency-sinus-arrhythmia
cb-mitral-regurgitation-gallop-sound,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/mitral-regurgitation-with-1/s-0Ktap,mitral-regurgitation-gallop-sound.mp3,dog,,,acquired_valvular_disease,Mitral Regurgitation with Gallop Sound,,"An S3 gallop sound is heard in this heart sound; a murmur is present but is difficult to appreciate. The third and fourth heart sounds occur during diastole and are not normally audible in normal dogs. An S3 heart sound is lower in frequency than S1 and S2 sounds, and it is usually best heard with the stethoscope bell. An S3 sound may sound like the galloping of a horse, hence the term gallop heart sound . The term gallop rhythm should be avoided, as the presence of an audible S3 sound does not relate to the heart’s underlying electrical rhythm. Rapid ventricular filling generates the S3 (also known as S3, protodiastolic , or ventricular gallop ). An audible S3 is commonly heard with diastolic volume overloading, as in this patient with severe mitral insufficiency.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/mitral-regurgitation-gallop-sound
cb-mitral-regurgitation-sinus-tachycardia,acquired_valvular_disease,https://soundcloud.com/cliniciansbrief/sets/mitral-regurgitation-with/s-SFp2W,mitral-regurgitation-sinus-tachycardia.mp3,dog,,,acquired_valvular_disease,Mitral Regurgitation with Sinus Tachycardia,3/6,"A grade 3/6 systolic murmur is auscultated over the left apex region in this heart sound, which is plateau (band-shaped) and occurs throughout systole, making it difficult to identify S1 or S2 sounds. This dog is also tachycardic, making the murmur more difficult to hear.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/mitral-regurgitation-sinus-tachycardia
cb-moderate-subaortic-stenosis,congenital,https://soundcloud.com/cliniciansbrief/sets/moderate-subaortic-stenosis/s-ZyyJi,moderate-subaortic-stenosis.mp3,dog,,,congenital,Moderate Subaortic Stenosis,4/6,"A grade 4/6 harsh ejection type (crescendo-decrescendo) systolic murmur (heard over the left heart base) caused by moderate subaortic stenosis (SAS) is auscultated in this patient. A moderate to severe SAS murmur is typically harsh, of mixed frequency, and radiates toward the right heart base and up the neck along the carotid arteries. Pulse quality might be normal with moderate SAS, whereas it may be diminished with severe SAS. Left ventricular enlargement patterns may be less severe or absent on ECGs in a dog with moderate SAS (compared with severe SAS); this may be an additional way to distinguish or classify severity. Definitive diagnosis of SAS and severity require echocardiography.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/moderate-subaortic-stenosis
cb-normal-6-year-old-domestic-shorthair-cat,normal,https://soundcloud.com/cliniciansbrief/sets/normal-6-year-old-domestic/s-O2Hh8,normal-6-year-old-domestic-shorthair-cat.mp3,cat,domestic,6-year-old,normal,Normal 6-year-old Domestic Shorthair Cat,,Clinically normal 6-year-old domestic shorthair.,https://www.cliniciansbrief.com/cardiac-library/heart-sound/normal-6-year-old-domestic-shorthair-cat
cb-normal-doberman-pinscher,normal,https://soundcloud.com/cliniciansbrief/sets/normal-doberman-pinscher-half-speed/s-P8Yl4,normal-doberman-pinscher.mp3,dog,,,normal,Normal Doberman Pinscher,,Clinically normal Doberman pinscher heart sounds (S1 and S2),https://www.cliniciansbrief.com/cardiac-library/heart-sound/normal-doberman-pinscher
cb-normal-equine-s3-sounds,normal,https://soundcloud.com/cliniciansbrief/sets/normal-equine-s3-sounds/s-9nRDV,normal-equine-s3-sounds.mp3,horse,,,normal,Normal Equine S3 Sounds,,"The S1, S2, and S3 sounds can be heard in this recording; these are normal findings when auscultating a horse. A normal first heart sound (associated with closure and tensing of the mitral and tricuspid valves) can be appreciated at the onset of systole coinciding with the QRS complex on ECGs. The S1 sound is longer, louder, and lower pitched than the second heart sound; the second heart sound is associated with closure of the aortic and pulmonic valves at the end of systole, following the T wave on the ECG. The third and fourth heart sounds occur during diastole and can often be auscultated in normal horses. Early, rapid ventricular filling generates the S3 sound, whereas the S4 sound is heard just before the S1 sound and occurs just after the P wave on the ECG.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/normal-equine-s3-sounds
cb-normal-labrador-retriever,normal,https://soundcloud.com/cliniciansbrief/sets/normal-labrador-sinus-rhythm/s-GzII4,normal-labrador-retriever.mp3,dog,Labrador,9-year-old,normal,Normal Labrador Retriever,,Clinically normal 9-year-old Labrador Retriever.,https://www.cliniciansbrief.com/cardiac-library/heart-sound/normal-labrador-retriever
cb-normal-panting-golden-retriever,normal,https://soundcloud.com/cliniciansbrief/sets/normal-panting-golden/s-ENaDK,normal-panting-golden-retriever.mp3,dog,,,normal,Normal Panting Golden Retriever,,Heart sounds (S1 and S2) from a panting clinically normal golden retriever,https://www.cliniciansbrief.com/cardiac-library/heart-sound/normal-panting-golden-retriever
cb-paroxysmal-atrial-tachycardia,arrhythmia,https://soundcloud.com/cliniciansbrief/sets/paroxysmal-atrial-tachycardia/s-2Ywzu,paroxysmal-atrial-tachycardia.mp3,dog,,,arrhythmia,Paroxysmal Atrial Tachycardia,,"A few normal beats are initially auscultated in this recording, followed by a very rapid increase in rate and a very rapid run of tachycardia. It is impossible to distinguish atrial versus ventricular tachycardia based on auscultation alone; an ECG helps develop a definitive diagnosis. Auscultation does, however, suggest presence of either an atrial or ventricular tachyarrhythmia.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/paroxysmal-atrial-tachycardia
cb-patent-ductus-arteriosus,congenital,https://soundcloud.com/cliniciansbrief/sets/patent-ductus-arteriosus/s-i3c1c,patent-ductus-arteriosus.mp3,dog,,,congenital,Patent Ductus Arteriosus,,"A continuous murmur is auscultated high on the left heart base in this recording; it increases and decreases in intensity throughout the cardiac cycle with the peak intensity near the S2 sound. Unlike a to-and-fro murmur, this continuous murmur never stops, but increases and decreases throughout the cardiac cycle. The most common cause of a continuous murmur is patent ductus arteriosus (PDA) with its classic “machinery-like” murmur noted throughout the cardiac cycle. It should be noted that the murmur could cease in late diastole with slow heart rates; the diastolic component can eventually disappear with the development of pulmonary hypertension. Other rare causes of continuous murmurs include aortopulmonary window, ruptured aneurysms of sinus of Valsalva, and coronary arteriovenous fistulae.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/patent-ductus-arteriosus
cb-patent-ductus-arteriosus-atrial-fibrillation,congenital,https://soundcloud.com/cliniciansbrief/sets/patent-ductus-arteriosus-with/s-j4BBI,patent-ductus-arteriosus-atrial-fibrillation.mp3,dog,,,congenital,Patent Ductus Arteriosus with Atrial Fibrillation,,"These two recordings are from different patients; each has a patent ductus arteriosus (PDA) and atrial fibrillation. A continuous murmur is auscultated high on the left heart base, which increases and decreases in intensity throughout the cardiac cycle with the peak intensity near the S2 sound. There is also an arrhythmia in the second patient, and the heart rate is much faster than the previous PDA murmur as this patient is in atrial fibrillation. The continuous murmur is louder when there are longer R-R intervals, and it is more difficult to auscultate during shorter R-R intervals.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/patent-ductus-arteriosus-atrial-fibrillation
cb-pericardial-friction-rub,other,https://soundcloud.com/cliniciansbrief/sets/pericardial-friction-rub/s-xAv2b,pericardial-friction-rub.mp3,dog,,,other,Pericardial Friction Rub,,A squeaky or grating sound is present in this recording that appears to have three components with a to-and-fro character: a systolic grating sound and two diastolic rasping sounds. This patient has constrictive pericarditis. The sound seems very close to the ear and louder than the normal background heart sounds on auscultation; background heart sounds are also present.,https://www.cliniciansbrief.com/cardiac-library/heart-sound/pericardial-friction-rub
cb-physiologic-murmur,normal,https://soundcloud.com/cliniciansbrief/sets/physiologic-murmur/s-VdHxl,physiologic-murmur.mp3,dog,,,normal,Physiologic Murmur,,"A soft, short duration (beginning of systole) murmur is appreciated in these sounds, graded at 1/6 and loudest at the left heart base. No structural heart disease is identified in these thin or athletic dogs on echocardiogram. Innocent or physiologic murmurs are often detected in young animals with no evidence of structural cardiac disease, and functional (physiologic) murmurs are usually caused by decreased blood viscosity or increased cardiac tone. Innocent murmurs in puppies should disappear as the dog matures; they are likely the result of larger stroke volumes in puppies (relative to great vessel size) as compared with adults. Physiologic murmurs in boxers, golden retrievers, and greyhounds are not uncommon, particularly in thin dogs in good body condition. Physiologic murmurs can also occur with anemia, fever, hypertension, pregnancy, hyperthyroidism, high sympathetic tone, and hypoproteinemia.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/physiologic-murmur
cb-pulmonic-stenosis-moderate,congenital,https://soundcloud.com/cliniciansbrief/sets/pulmonic-stenosis-moderate/s-dtubE,pulmonic-stenosis-moderate.mp3,dog,,,congenital,Pulmonic Stenosis (Moderate),3-4/6,"A grade 3-4/6, moderately harsh crescendo-decrescendo (ejection) murmur is heard throughout systole (over the left heart base over the pulmonic valve) in this heart sound. Moderate pulmonic stenosis is present in this dog, and as the pressure gradient between the right ventricle and pulmonary artery increases, the murmur intensity becomes louder and peaks later in systole.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/pulmonic-stenosis-moderate
cb-pulmonic-stenosis-opening-snap,congenital,https://soundcloud.com/cliniciansbrief/sets/pulmonic-stenosis-with-opening/s-oKqyR,pulmonic-stenosis-opening-snap.mp3,dog,,,congenital,Pulmonic Stenosis with Opening Snap,,"This heart sound includes a grade 3-4 harsh, high-frequency, crescendo-decrescendo (ejection) murmur heard throughout systole (auscultated at the left heart base over the pulmonic valve) with a somewhat harsher S2-associated “snap” compared with other severe PS examples. In this example (ie, of a dog with severe PS), the stenotic valve snaps open and domes forward during ejection, creating the opening snap.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/pulmonic-stenosis-opening-snap
cb-pulmonic-stenosis-pulmonary-insufficiency,congenital,https://soundcloud.com/cliniciansbrief/sets/pulmonic-stenosis-with/s-pmMeg,pulmonic-stenosis-pulmonary-insufficiency.mp3,dog,,,congenital,Pulmonic Stenosis with Pulmonary Insufficiency,4/6,"A combination grade 4/6 harsh ejection type (crescendo) systolic murmur with a soft grade 2/6 diastolic murmur (auscultated over the left heart base) caused by severe pulmonic stenosis and mild pulmonic insufficiency is appreciated in this dog (prior to balloon valvuloplasty). The combination of a systolic ejection murmur with a diastolic decrescendo murmur is described as a to-and-fro murmur. The ejection component tapers in late systole, allowing recognition of S2 and differentiation from a continuous murmur. This dog had severe outflow tract obstruction and moderate pulmonary insufficiency prior to the balloon valvuloplasty.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/pulmonic-stenosis-pulmonary-insufficiency
cb-pulmonic-stenosis-severe,congenital,https://soundcloud.com/cliniciansbrief/sets/pulmonic-stenosis-severe-1/s-cOPbW,pulmonic-stenosis-severe.mp3,dog,,,congenital,Pulmonic Stenosis (Severe),3-4/6,"A grade 3-4/6 harsh and high-frequency crescendo-decrescendo (ejection) murmur heard throughout systole (over the left heart base over the pulmonic valve) is present in this heart sound. As the pressure gradient between the right ventricle and pulmonary artery increases in this dog with severe pulmonic stenosis, the murmur intensity becomes louder and peaks later in systole.",https://www.cliniciansbrief.com/cardiac-library/heart-sound/pulmonic-stenosis-severe
cb-severe-subaortic-stenosis-mild-aortic-insufficiency,congenital,https://soundcloud.com/cliniciansbrief/sets/severe-subaortic-stenosis-mild/s-wJB9G,severe-subaortic-stenosis-mild-aortic-insufficiency.mp3,dog,,,congenital,Severe Subaortic Stenosis & Mild Aortic Insufficiency,4/6,A combination of a grade 4/6 harsh ejection type (crescendo) systolic murmur and a soft grade 2/6 diastolic decrescendo murmur (over the left heart base) caused by severe subaortic stenosis and mild aortic insufficiency in a dog is appreciated in this heart sound. The murmur of valvular and subvalvular aortic stenosis is a systolic ejection (crescendo-decrescendo) murmur best heard at the left heart base. A moderate to severe subvalvular aortic stenosis murmur is usually harsh and of mixed frequency; it often radiates towards the right heart base and up the neck along the carotid arteries.,https://www.cliniciansbrief.com/cardiac-library/heart-sound/severe-subaortic-stenosis-mild-aortic-insufficiency
